lines,cap,budget,carrier_rate,customer_price,policy,throttling,usage,carrier_cost,revenue,margin,coverage
500,5.0,12000.0,8.0,25.0,Retail (Households),True,1800.0,14400.0,12500.0,0.088,100.0
500,5.0,10000.0,8.0,25.0,Public Sector (Schools),False,2500.0,20000.0,10000.0,-1.0,40.0
300,8.0,18000.0,9.0,35.0,Public Sector (Schools),False,2400.0,21600.0,10500.0,-1.06,30.0
600,2.0,8000.0,6.0,15.0,Retail (Households),True,864.0,5184.0,9000.0,0.424,100.0
800,3.0,15000.0,7.0,20.0,Retail (Households),True,1728.0,12096.0,16000.0,0.244,100.0
400,6.0,14000.0,8.5,30.0,Public Sector (Schools),True,2160.0,18360.0,12000.0,-0.53,40.0
350,4.0,9000.0,7.5,25.0,Retail (Households),False,1120.0,8400.0,8750.0,0.04,100.0
750,2.5,11000.0,6.5,20.0,Retail (Households),True,1350.0,8775.0,15000.0,0.415,100.0
250,7.0,16000.0,10.0,40.0,Public Sector (Schools),False,1750.0,17500.0,10000.0,-0.75,25.0
450,3.5,13000.0,8.2,28.0,Retail (Households),True,1134.0,9298.8,12600.0,0.262,100.0
550,6.0,20000.0,9.5,30.0,Enterprise,False,2970.0,28215.0,16500.0,-0.71,55.0
320,4.5,12000.0,7.8,32.0,Enterprise,True,1123.2,8760.96,10240.0,0.145,100.0
680,2.8,16000.0,8.8,25.0,Enterprise,False,1713.6,15079.68,17000.0,0.113,100.0
